time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447300000	19.4809	8.49503	4.6717	1.11897	0.367713	lidar	1.39069e-309	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5758	8.69458	4.61314	1.13851	0.372674	radar	2.23667e-314	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7368	8.87257	4.59639	1.12272	0.330668	lidar	1.39069e-309	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8148	9.08426	4.52189	1.15346	0.355672	radar	2.23667e-314	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9403	9.32647	4.61209	1.16755	0.352473	lidar	1.39069e-309	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9911	9.53444	4.46894	1.20848	0.394181	radar	2.23667e-314	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0717	9.79076	4.56278	1.23969	0.409416	lidar	1.39069e-309	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.133	10.0455	4.68803	1.26915	0.413741	radar	2.23667e-314	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1755	10.3379	4.81361	1.31724	0.448275	lidar	1.39069e-309	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.192	10.5704	4.71382	1.36635	0.494125	radar	2.23667e-314	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2455	10.8572	4.83337	1.40026	0.506281	lidar	1.39069e-309	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2715	11.1234	4.91877	1.43231	0.509238	radar	2.23667e-314	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3067	11.3597	4.90379	1.45433	0.505056	lidar	1.39069e-309	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2528	11.6039	4.74962	1.53395	0.599777	radar	2.23667e-314	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3251	11.8388	4.74739	1.53577	0.566724	lidar	1.39069e-309	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3507	12.0773	4.86575	1.53655	0.506975	radar	2.23667e-314	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3319	12.3787	4.99823	1.57952	0.528427	lidar	1.39069e-309	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2819	12.6139	4.87648	1.63937	0.592263	radar	2.23667e-314	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3107	12.8441	4.83851	1.64746	0.567059	lidar	1.39069e-309	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3024	13.0691	4.7958	1.66931	0.560177	radar	2.23667e-314	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2708	13.2725	4.71882	1.69644	0.558569	lidar	1.39069e-309	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.234	13.5063	4.74981	1.72011	0.544716	radar	2.23667e-314	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2096	13.7728	4.8178	1.7431	0.540382	lidar	1.39069e-309	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1572	13.9947	4.76423	1.77807	0.557573	radar	2.23667e-314	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0972	14.2583	4.8394	1.80982	0.562691	lidar	1.39069e-309	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0258	14.4871	4.84091	1.84035	0.56245	radar	2.23667e-314	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9104	14.7535	4.94838	1.88753	0.585112	lidar	1.39069e-309	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8456	14.9693	4.92701	1.9009	0.550898	radar	2.23667e-314	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8239	15.1752	4.82276	1.90508	0.52382	lidar	1.39069e-309	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6978	15.3745	4.67854	1.98425	0.639777	radar	2.23667e-314	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6802	15.5442	4.51404	1.98757	0.606248	lidar	1.39069e-309	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5965	15.7379	4.49098	2.01006	0.590146	radar	2.23667e-314	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4847	15.962	4.55306	2.04282	0.594153	lidar	1.39069e-309	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3884	16.1656	4.57736	2.05492	0.552658	radar	2.23667e-314	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
